web_scraper_order,web_scraper_start_url,title,data,data2,image
"1783830622-1","https://www.colsubsidio.com/seguros/familiares","Asesorías jurídicas","Resuelve tus inquietudes legales y protege tus derechos. Gestiona trámites y recibe consultas con expertos.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-12/asesoria-juridica-seguros-colsubsidio-c.webp"
"1783830622-2","https://www.colsubsidio.com/seguros/familiares","Accidentes personales","Ante cualquier accidente, tu seguridad está garantizada. Vive con confianza, sabiendo que tú y los tuyos tienen cobertura siempre.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%201%20accidentes%20personales.webp"
"1783830622-3","https://www.colsubsidio.com/seguros/familiares","Póliza de salud","Tu familia merece atención médica preferencial en una red exclusiva de clínicas, con acceso directo a servicios y especialistas.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%202P%C3%B3liza%20de%20salud.webp"
"1783830622-4","https://www.colsubsidio.com/seguros/familiares","Seguro de vida","Ofrece a tu familia estabilidad financiera ante situaciones de fallecimiento, incapacidad o enfermedad.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%203%20seguro%20de%20vida.webp"
"1783830622-5","https://www.colsubsidio.com/seguros/familiares","Asistencias múltiples","Resuelve emergencias de salud, hogar, vehículo o mascotas con asistencia profesional 24/7.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%204%20asistencias%20m%C3%BAltiples.webp"
"1783830622-6","https://www.colsubsidio.com/seguros/familiares","Seguro exequial","Estamos contigo en los momentos más sensibles, acompañándote con soluciones durante el proceso.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%205%20seguro%20exequial.webp"
"1783830622-7","https://www.colsubsidio.com/seguros/familiares","Seguro de accidente personales y servicio exequial","Facilitamos la cobertura de gastos exequiales, apoyando a tu familia con soluciones financieras inmediatas.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%206%20seguro%20de%20accidentes%20personales%20y%20servicio%20exequial.webp"
"1783830622-8","https://www.colsubsidio.com/seguros/familiares","Seguro de vida y ahorro","Fortalece tu futuro económico y el de tu familia mientras construyes tu ahorro personal.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%207%20seguro%20de%20vida%20y%20ahorro.webp"
"1783830622-9","https://www.colsubsidio.com/seguros/familiares","Asistencias médicas familiares","Atendemos tus necesidades con médico en casa, consultas telefónicas, urgencias dentales y más.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%208%20Asistencias%20m%C3%A9dicas%20familiares.webp"
"1783830622-10","https://www.colsubsidio.com/seguros/familiares","Asistencia médica en viajes","Resuelve emergencias médicas en tu viaje: consultas telefónicas, urgencias dentales, medicamentos, entre otros.","Conoce más","https://cms.colsubsidio.com/sites/default/files/2025-08/Card%209%20asistencia%20m%C3%A9dica%20en%20viajes.webp"
